,abstract,bands,circle,figure,gestural,grid,landscape,portrait,rectangle,repetition,shape,square,still_life,symmetry,label,range_Blue,stdev_Blue,skew_Blue,range_Green,stdev_Green,skew_Green,range_Red,stdev_Red,skew_Red,range_Hue,stdev_Hue,skew_Hue,range_Saturation,stdev_Saturation,skew_Saturation,range_Value,stdev_Value,skew_Value
1960.020,0.0,0.07,0.0,0.0,0.0,1.11,0.0,0.0,0.01,96.62,0.0,1.74,0.0,0.44,repetition,10.0,1.7184659,2.7225279808044434,8.0,1.4869221,2.407919406890869,8.0,1.492167,2.4002532958984375,6.0,1.1388042,1.7535831928253174,7.0,1.1388042,1.8329308032989502,7.0,1.1319232,1.7776782512664795
1960.021,0.2,5.21,0.02,9.43,0.23,38.12,0.62,0.11,0.07,7.59,2.14,33.84,0.15,2.26,grid,8.0,1.5637496,2.2571089267730713,7.0,1.5436361,2.1234724521636963,7.0,1.5786663,2.131178617477417,21.0,2.3535213,5.518094539642334,24.0,2.514023,6.286984443664551,27.0,2.5093575,6.326938629150391
1960.022,0.33,6.76,0.14,16.69,0.09,1.87,0.12,0.1,14.55,2.0,35.78,20.47,0.44,0.68,shape,9.0,1.7024798,2.6206421852111816,9.0,1.4334182,2.321686029434204,7.0,1.4763765,1.9719159603118896,18.0,2.1046822,4.785877227783203,18.0,2.2114758,4.998252868652344,21.0,2.21853,5.792123794555664
1960.023,0.0,0.03,0.23,0.0,0.0,90.99,0.0,0.0,0.0,1.21,0.03,7.3,0.11,0.08,grid,12.0,1.9565595,3.080688714981079,10.0,1.9364917,2.8660078048706055,11.0,1.9445436,2.8624277114868164,28.0,2.5586863,6.285622596740723,24.0,2.4748738,5.204347133636475,23.0,2.6309457,5.38026762008667
1960.024,0.0,0.02,0.11,0.0,0.01,97.78,0.0,0.0,0.01,0.13,0.0,1.2,0.69,0.05,grid,17.0,2.4318845,3.9130895137786865,17.0,2.482753,3.818357229232788,15.0,2.5341418,3.592543125152588,27.0,2.9567192,5.659622669219971,19.0,2.7457354,4.631110191345215,17.0,2.08604,3.940661668777466
1960.025,0.0,0.03,0.03,0.0,0.0,15.83,0.0,0.0,0.0,82.98,0.0,1.1,0.0,0.02,repetition,9.0,1.6793786,2.559563636779785,9.0,1.6201851,2.435788631439209,11.0,1.7611253,2.9617397785186768,16.0,1.8812397,4.04921817779541,17.0,1.8833148,4.913891792297363,13.0,1.6978847,3.8270957469940186
1960.026,0.0,0.0,0.0,99.55,0.0,0.0,0.04,0.0,0.35,0.0,0.03,0.02,0.0,0.0,figure,13.0,1.9960899,3.5525336265563965,13.0,2.032932,3.6132359504699707,11.0,1.9080422,3.2204999923706055,19.0,2.0444283,4.503006935119629,15.0,1.9823439,4.060949325561523,15.0,2.0097418,3.7541987895965576
1960.027,0.13,3.2,0.12,0.28,0.07,0.06,0.0,0.03,85.38,0.47,0.27,2.23,0.07,7.68,rectangle,8.0,1.7047727,2.469348192214966,10.0,1.7252717,2.6710386276245117,10.0,1.7655559,2.68611216545105,24.0,2.4125323,6.106118202209473,26.0,2.42384,6.354761600494385,27.0,2.535683,6.415478706359863
1960.029,0.0,0.02,0.0,0.0,0.0,24.86,0.0,0.0,0.0,74.95,0.0,0.13,0.0,0.05,repetition,12.0,1.8540496,3.180997371673584,6.0,1.1956954,1.847474217414856,7.0,1.21192,2.0013961791992188,9.0,1.5334805,2.5884053707122803,9.0,1.3919411,2.6332454681396484,8.0,1.3287683,2.48250412940979
1960.031,0.06,18.16,0.0,0.0,0.01,11.33,0.0,0.0,0.01,70.14,0.01,0.27,0.02,0.0,repetition,13.0,2.2273161,3.1790316104888916,14.0,2.366762,3.511409044265747,13.0,1.9080422,3.3925750255584717,14.0,1.9625398,3.597554922103882,15.0,2.0444283,3.910560131072998,9.0,1.5103807,2.8297319412231445
